ID,ECLO
ACCIDENT_39609,4.612834851245512
ACCIDENT_39610,4.583073519764187
ACCIDENT_39611,4.553071475617368
ACCIDENT_39612,4.372483978796416
ACCIDENT_39613,4.211278398944587
ACCIDENT_39614,4.1504725973192285
ACCIDENT_39615,4.063046394134895
ACCIDENT_39616,3.977159638252387
ACCIDENT_39617,3.9846675383937553
ACCIDENT_39618,4.04398506365033
ACCIDENT_39619,4.245819647706362
ACCIDENT_39620,3.958846185167613
ACCIDENT_39621,3.8867718339286474
ACCIDENT_39622,4.107859183099582
ACCIDENT_39623,4.114449325953574
ACCIDENT_39624,3.986557593332629
ACCIDENT_39625,4.445541008258558
ACCIDENT_39626,4.356826716847475
ACCIDENT_39627,4.268783412025827
ACCIDENT_39628,4.264862087178601
ACCIDENT_39629,4.302656418539473
ACCIDENT_39630,4.068056374309456
ACCIDENT_39631,4.172356960213816
ACCIDENT_39632,3.9752864073365473
ACCIDENT_39633,4.090063143720624
ACCIDENT_39634,4.053173356541649
ACCIDENT_39635,4.063540110489339
ACCIDENT_39636,4.014338600924736
ACCIDENT_39637,4.0944092105994825
ACCIDENT_39638,3.91218518476484
ACCIDENT_39639,4.092262819096513
ACCIDENT_39640,3.9078114033720865
ACCIDENT_39641,4.125682927029175
ACCIDENT_39642,4.112912365210883
ACCIDENT_39643,4.116330945531086
ACCIDENT_39644,4.006102292437672
ACCIDENT_39645,4.142571904709238
ACCIDENT_39646,4.115481265974463
ACCIDENT_39647,4.256904377828997
ACCIDENT_39648,4.202272362842757
ACCIDENT_39649,4.114449325953574
ACCIDENT_39650,4.295390388249548
ACCIDENT_39651,4.339778762846828
ACCIDENT_39652,4.364180424220579
ACCIDENT_39653,4.151082673750307
ACCIDENT_39654,4.225242165716248
ACCIDENT_39655,4.156729036847706
ACCIDENT_39656,4.19748256311662
ACCIDENT_39657,4.086299211260999
ACCIDENT_39658,4.139679972637274
ACCIDENT_39659,4.076979767223198
ACCIDENT_39660,4.175518047449942
ACCIDENT_39661,3.9374827452285937
ACCIDENT_39662,4.179569276789695
ACCIDENT_39663,4.123897948485847
ACCIDENT_39664,3.9359824392454477
ACCIDENT_39665,3.9419175688787407
ACCIDENT_39666,4.054691716981126
ACCIDENT_39667,4.036423261985314
ACCIDENT_39668,4.070941149035977
ACCIDENT_39669,4.021765696005484
ACCIDENT_39670,4.0046152328633555
ACCIDENT_39671,4.230726493858377
ACCIDENT_39672,4.199655142697286
ACCIDENT_39673,4.056595369310319
